,Time,User,Tweet
0,2022-09-26 23:49:26+00:00,SukunaBikona7,"""心筋梗塞が起きた後であればACE阻害薬やβ遮断薬といった薬でリモデリングを予防することが多いが、コロナ感染後は自覚症状のないまま進行する恐れがある。""
""回復後に体の異常を感じなくとも「積極的に検査を受けて、心不全だとわかったら早く治療することが大切」"""
1,2022-09-26 23:49:25+00:00,SukunaBikona7,"新型コロナ後遺症　ひそかに上がる心血管疾患リスク: 日本経済新聞 https://t.co/NHNSyKnLzY
""退院3カ月後にMRIで画像検査を行うと、42%（13人）に心筋の傷害や心機能の低下が見られた。""
""MRI画像から心筋炎が判明した人も26%いた。""
→"
2,2022-09-26 23:43:54+00:00,kokutakeiji,"臨時国会で共闘を強め、統一協会問題を徹底追及し、物価高騰や新型コロナから暮らしと命を守る国会とすることを確認しました。

統一協会の反社会性とともに、自民党との癒着、とくに広告塔になってきた細田博之衆院議長や山際大志郎経済再生担当… https://t.co/pMKlSEyACP"
3,2022-09-26 23:43:31+00:00,Novaccinekita11,"日本人の8割以上が接種済みです。
長尾先生の言うとおり全員とは言いませんが、何度でも言います。

「コロナ後遺症はワクチン後遺症」

https://t.co/pCHFOg2uTO"
4,2022-09-26 23:32:52+00:00,HamazakiTakashi,"そして中津川の喫茶たなかのミートスパゲッティ。
今はコロナの影響でテイクアウトのみの営業。
久しぶりに食べましたがうまい！
私の中のミートスパゲティ第2位！
ちなみに1位は以前、目黒にあったメッシタのやつ。… https://t.co/U6x1uKGaae"
5,2022-09-26 23:18:15+00:00,YoichiTakahashi,イベルメクチン コロナ治療薬の承認申請を断念 有効性見られず | NHK   https://t.co/dyFpHExyTP
6,2022-09-26 23:15:02+00:00,NatsukiYasuda,コロナ禍になり、意思決定のあり方や政策にどう声をあげていくのかが、どれほど生活と命に直結するのかを、より多くの人が実感したのではないかと思う。それでも「アベノマスク」は配られた。けれども批判の声があがらなければその後、「お肉券」「お魚券」と商品券が乱立していたかもしれない。
7,2022-09-26 23:02:24+00:00,EARL_COVID19_tw,"新型コロナワクチン接種の65件を認定 - 厚労省が健康被害審査部会の審議結果公表
https://t.co/0xLMTN9E6C"
8,2022-09-26 23:00:29+00:00,Novaccinekita11,"コロナワクチンの犠牲者
世界では明確に市民が気づいています。
そして反対の声をあげています。
https://t.co/NBXVc2kTyY"
9,2022-09-26 22:56:46+00:00,JkpiSolution,"🌈都内は晴れ、気温23℃🌈

＼おはようございます／

9月27日は、世界観光の日🗓
コロナ禍で縮小した訪日観光客も入国緩和で戻るそう✈️

ツイ担は、全国観光支援でパワースポットの旅に出かけたいなぁ😊

皆さま、本日も安全に✨… https://t.co/Z5uA95u5tO"
